Copyright Statistisches Bundesamt (Destatis), 2023
GENESIS-Tabelle: 73421-0002
Stand: 05.06.2023 / 08:53:25
Anmerkung:
"Ohne Bier mit einem Alkoholgehalt von 0,5 vol % und weniger
(Alkoholfreies Bier, Malztrunk)."
Absatz von Bier: Deutschland, Monate,,
Biersteuerstatistik,,
Deutschland,,
Jahr,Monat,Absatz von Bier [hl]
1993,Januar,7040763
1993,Februar,7570767
1993,März,9055530
1993,April,10069359
1993,Mai,10560663
1993,Juni,11149201
1993,Juli,10096260
1993,August,10511968
1993,September,9299979
1993,Oktober,8424623
1993,November,8714418
1993,Dezember,9716687
1994,Januar,7470062
1994,Februar,7796689
1994,März,10012526
1994,April,8774556
1994,Mai,11134469
1994,Juni,10548604
1994,Juli,11197154
1994,August,11377791
1994,September,9539882
1994,Oktober,8668525
1994,November,9379520
1994,Dezember,9767388
1995,Januar,7728089
1995,Februar,7991182
1995,März,9202728
1995,April,9046086
1995,Mai,11482422
1995,Juni,10637939
1995,Juli,11416967
1995,August,11693655
1995,September,8880361
1995,Oktober,9327326
1995,November,8871342
1995,Dezember,8965969
1996,Januar,7746989
1996,Februar,8016084
1996,März,8490677
1996,April,10585761
1996,Mai,10672058
1996,Juni,10433536
1996,Juli,10961345
1996,August,10497394
1996,September,8726969
1996,Oktober,9302505
1996,November,8254694
1996,Dezember,9092739
1997,Januar,8163723
1997,Februar,7494537
1997,März,8372298
1997,April,10094682
1997,Mai,10531357
1997,Juni,10412000
1997,Juli,11036268
1997,August,10739921
1997,September,9574540
1997,Oktober,8921301
1997,November,7849077
1997,Dezember,9484782
1998,Januar,7737339
1998,Februar,7787523
1998,März,8627653
1998,April,9808284
1998,Mai,10475859
1998,Juni,10281317
1998,Juli,10539851
1998,August,9863833
1998,September,8682335
1998,Oktober,8311118
1998,November,7917056
1998,Dezember,9349837
1999,Januar,7090325
1999,Februar,7161503
1999,März,9405788
1999,April,9073558
1999,Mai,10089854
1999,Juni,10481149
1999,Juli,10820131
1999,August,10240386
1999,September,9771049
1999,Oktober,7968466
1999,November,8517812
1999,Dezember,9528709
2000,Januar,6619654
2000,Februar,7965155
2000,März,8914947
2000,April,9073517
2000,Mai,11845693
2000,Juni,11042107
2000,Juli,9133946
2000,August,10814265
2000,September,8588384
2000,Oktober,8582424
2000,November,8450660
2000,Dezember,8761895
2001,Januar,7348702
2001,Februar,7509164
2001,März,8161362
2001,April,9121375
2001,Mai,11286896
2001,Juni,9551057
2001,Juli,10603144
2001,August,11083631
2001,September,7710420
2001,Oktober,9189726
2001,November,8229523
2001,Dezember,8022059
2002,Januar,8032158
2002,Februar,7365296
2002,März,8577548
2002,April,9464218
2002,Mai,10376416
2002,Juni,9800783
2002,Juli,10665369
2002,August,10099890
2002,September,8791208
2002,Oktober,8625096
2002,November,7803876
2002,Dezember,8164362
2003,Januar,7333351
2003,Februar,6907212
2003,März,7544886
2003,April,9538359
2003,Mai,9395072
2003,Juni,10721587
2003,Juli,10965144
2003,August,9890712
2003,September,8689730
2003,Oktober,8348341
2003,November,7360512
2003,Dezember,8875388
2004,Januar,7168244
2004,Februar,7146069
2004,März,8418863
2004,April,9202033
2004,Mai,9128343
2004,Juni,10682471
2004,Juli,10215959
2004,August,10455880
2004,September,8805309
2004,Oktober,7626137
2004,November,8177627
2004,Dezember,8836953
2005,Januar,6761271
2005,Februar,6705526
2005,März,8457726
2005,April,9136117
2005,Mai,10038124
2005,Juni,10842158
2005,Juli,9862055
2005,August,10078423
2005,September,9055393
2005,Oktober,7756251
2005,November,8083815
2005,Dezember,8607762
2006,Januar,6510659
2006,Februar,7105709
2006,März,8075538
2006,April,8711966
2006,Mai,10831979
2006,Juni,11046722
2006,Juli,10885365
2006,August,10079850
2006,September,8635809
2006,Oktober,8239740
2006,November,8161764
2006,Dezember,8559204
2007,Januar,7066759
2007,Februar,6996789
2007,März,8264082
2007,April,9641496
2007,Mai,10627682
2007,Juni,9944302
2007,Juli,10029171
2007,August,9824137
2007,September,7554164
2007,Oktober,8434729
2007,November,7844210
2007,Dezember,7745414
2008,Januar,7988969
2008,Februar,6786018
2008,März,7399878
2008,April,9212765
2008,Mai,10036414
2008,Juni,10241256
2008,Juli,10490167
2008,August,9073686
2008,September,8406045
2008,Oktober,7975108
2008,November,6965542
2008,Dezember,8334416
2009,Januar,6524915
2009,Februar,6497940
2009,März,7667498
2009,April,9813173
2009,Mai,9302540
2009,Juni,9533498
2009,Juli,9976563
2009,August,9266071
2009,September,8340934
2009,Oktober,7352125
2009,November,7270491
2009,Dezember,8447276
2010,Januar,5875885
2010,Februar,6401754
2010,März,8651852
2010,April,8734873
2010,Mai,9052182
2010,Juni,10273914
2010,Juli,10533427
2010,August,8610886
2010,September,7951147
2010,Oktober,7047356
2010,November,7392608
2010,Dezember,7815484
2011,Januar,6057281
2011,Februar,6579098
2011,März,8152067
2011,April,8973433
2011,Mai,10108481
2011,Juni,9552126
2011,Juli,8738011
2011,August,9195835
2011,September,8249389
2011,Oktober,7304049
2011,November,7465712
2011,Dezember,7914501
2012,Januar,6245803
2012,Februar,6524433
2012,März,8019729
2012,April,8284372
2012,Mai,9879556
2012,Juni,9305808
2012,Juli,9084615
2012,August,9652723
2012,September,7419967
2012,Oktober,7776761
2012,November,7255714
2012,Dezember,7080091
2013,Januar,6829109
2013,Februar,5947698
2013,März,7119076
2013,April,8360143
2013,Mai,9138823
2013,Juni,8505453
2013,Juli,10167533
2013,August,8881638
2013,September,7908315
2013,Oktober,7686269
2013,November,6621793
2013,Dezember,7487257
2014,Januar,6850998
2014,Februar,6378269
2014,März,7224023
2014,April,9064026
2014,Mai,8687643
2014,Juni,9694853
2014,Juli,9941381
2014,August,7885388
2014,September,7914471
2014,Oktober,7547961
2014,November,6604023
2014,Dezember,7873784
2015,Januar,6188169
2015,Februar,6253679
2015,März,7988034
2015,April,8401104
2015,Mai,8628160
2015,Juni,9448872
2015,Juli,10125296
2015,August,8532852
2015,September,7910842
2015,Oktober,7095045
2015,November,7052147
2015,Dezember,8149185
2016,Januar,5864505
2016,Februar,6504971
2016,März,7949791
2016,April,8542916
2016,Mai,9274220
2016,Juni,9694021
2016,Juli,8795209
2016,August,9126118
2016,September,8469372
2016,Oktober,6808683
2016,November,7201014
2016,Dezember,7652070
2017,Januar,5786780
2017,Februar,6393534
2017,März,7721934
2017,April,7929066
2017,Mai,9391343
2017,Juni,9623851
2017,Juli,8744978
2017,August,9027749
2017,September,7511400
2017,Oktober,7169660
2017,November,7233821
2017,Dezember,7008810
2018,Januar,6395536
2018,Februar,6030847
2018,März,7155011
2018,April,8449490
2018,Mai,9625303
2018,Juni,9450106
2018,Juli,9139020
2018,August,9322881
2018,September,7119862
2018,Oktober,7690524
2018,November,7067155
2018,Dezember,6586138
2019,Januar,6508980
2019,Februar,6516116
2019,März,7015725
2019,April,8545355
2019,Mai,8685528
2019,Juni,8582469
2019,Juli,9631071
2019,August,8280890
2019,September,7506647
2019,Oktober,7273459
2019,November,6672699
2019,Dezember,7007511
2020,Januar,6507037
2020,Februar,6427069
2020,März,6801530
2020,April,7068885
2020,Mai,7558304
2020,Juni,8424169
2020,Juli,9249953
2020,August,8451369
2020,September,7707248
2020,Oktober,6707225
2020,November,5738261
2020,Dezember,6526128
2021,Januar,4750503
2021,Februar,5203130
2021,März,7813505
2021,April,6941701
2021,Mai,7586821
2021,Juni,9410000
2021,Juli,8606612
2021,August,7893727
2021,September,7439833
2021,Oktober,6503331
2021,November,6593759
2021,Dezember,6569878
2022,Januar,5110844
2022,Februar,5851946
2022,März,7743730
2022,April,7292740
2022,Mai,8678453
2022,Juni,8739744
2022,Juli,8188757
2022,August,8824858
2022,September,7494741
2022,Oktober,6280649
2022,November,7050148
2022,Dezember,6399245
