# Quelle: https://www.boerse-frankfurt.de/index/DAX/kurshistorie/historische-kurse-und-umsaetze
Datum,Eröffnung,Schluss,Tageshoch,Tagestief,Umsatz in EUR
03.01.22,15947.44,16020.73,16069.38,15943.16,3048358416
04.01.22,16069.80,16152.61,16202.58,16036.52,4245850286
05.01.22,16177.44,16271.75,16285.35,16161.72,3864958242
06.01.22,16076.16,16052.03,16156.56,15988.63,4252163699
07.01.22,15999.02,15947.74,16044.28,15862.71,3877183481
10.01.22,16006.44,15768.27,16015.34,15724.23,4214650555
11.01.22,15918.82,15941.81,15979.99,15880.39,4094809210
12.01.22,16054.93,16010.32,16061.50,15955.54,3849862458
13.01.22,15959.83,16031.59,16090.29,15941.78,4188482113
14.01.22,15929.37,15883.24,15970.70,15833.73,4641704926
17.01.22,15948.90,15933.72,15962.70,15894.77,2809835023
18.01.22,15839.15,15772.56,15843.58,15669.35,3995001638
19.01.22,15639.45,15809.72,15898.05,15629.86,4083691502
20.01.22,15837.24,15912.33,15912.33,15737.33,3664272740
21.01.22,15694.82,15603.88,15728.29,15456.87,5417536174
24.01.22,15499.61,15011.13,15587.39,14952.67,5983702759
25.01.22,15139.07,15123.87,15205.75,14979.11,4608581935
26.01.22,15273.06,15459.39,15524.96,15272.87,4321764075
27.01.22,15229.98,15524.27,15582.45,15197.53,5464789532
28.01.22,15411.86,15318.95,15416.59,15122.65,5101233795
31.01.22,15506.79,15471.20,15566.38,15338.19,4878078360
01.02.22,15620.56,15619.39,15687.96,15537.05,3898978980
02.02.22,15689.16,15613.77,15736.52,15604.99,3517319645
03.02.22,15565.94,15368.47,15602.50,15367.16,4621601361
04.02.22,15410.73,15099.56,15423.94,15060.48,4852681370
07.02.22,15220.08,15206.64,15256.08,15076.89,3638036073
08.02.22,15221.70,15242.38,15338.00,15158.80,4100582584
09.02.22,15356.95,15482.01,15513.94,15351.48,4345969410
10.02.22,15597.06,15490.44,15614.47,15413.37,5073280213
11.02.22,15353.86,15425.12,15511.34,15308.69,5264621308
14.02.22,15065.73,15113.97,15150.54,14844.10,6268203314
15.02.22,15077.32,15412.71,15418.41,15068.33,4597347490
16.02.22,15431.27,15370.30,15542.84,15327.94,3631313095
17.02.22,15404.14,15267.63,15440.08,15206.40,4278338930
18.02.22,15278.66,15042.51,15317.39,14989.05,5001980988
21.02.22,15186.63,14731.12,15192.47,14617.66,4360694147
22.02.22,14365.06,14693.00,14782.16,14357.86,6640612392
23.02.22,14754.22,14631.36,14901.09,14586.35,4995423126
24.02.22,13989.41,14052.10,14221.71,13807.28,10530958423
25.02.22,14230.09,14567.23,14567.62,14027.93,7873037016
28.02.22,14263.73,14461.02,14510.77,14106.89,7653923612
01.03.22,14404.22,13904.85,14448.61,13904.85,7270647004
02.03.22,13836.93,14000.11,14114.79,13707.86,7418217327
03.03.22,13990.25,13698.40,14057.15,13669.10,5649418362
04.03.22,13485.98,13094.54,13562.60,13094.54,8156757911
07.03.22,12614.08,12834.65,13150.35,12438.85,8936321749
08.03.22,12673.89,12831.51,13106.78,12672.00,7914589398
09.03.22,13215.06,13847.93,13847.93,13199.68,8702608107
10.03.22,13819.44,13442.10,13829.97,13341.79,6660960255
11.03.22,13479.69,13628.11,13943.97,13407.97,6386690895
14.03.22,13827.22,13929.11,14082.06,13815.80,5422786188
15.03.22,13768.44,13917.27,13974.84,13577.81,4844372117
16.03.22,14245.77,14440.74,14553.10,14183.26,6804199485
17.03.22,14500.05,14388.06,14509.23,14243.94,4761766588
18.03.22,14374.41,14413.09,14413.09,14109.79,9051619233
21.03.22,14385.82,14326.97,14457.30,14306.26,3529260150
22.03.22,14365.67,14473.20,14508.01,14343.34,3938679472
23.03.22,14532.84,14283.65,14539.31,14226.43,3729590207
24.03.22,14305.80,14273.79,14375.82,14187.82,3883580316
25.03.22,14332.26,14305.76,14428.03,14247.38,3666340570
28.03.22,14376.00,14417.37,14627.58,14371.90,3536517607
29.03.22,14592.74,14820.33,14925.25,14553.71,5096177646
30.03.22,14712.32,14606.05,14744.72,14555.87,3966321621
31.03.22,14674.83,14414.75,14732.00,14404.03,4416037012
01.04.22,14447.78,14446.48,14506.02,14403.09,3340610132
04.04.22,14503.96,14518.16,14535.07,14334.10,3529534468
05.04.22,14504.80,14424.36,14603.44,14347.33,3820755265
06.04.22,14402.16,14151.69,14437.91,14027.18,4778080746
07.04.22,14187.13,14078.15,14315.35,14069.53,4189075169
08.04.22,14275.87,14283.67,14321.82,14178.28,3554339861
11.04.22,14162.97,14192.78,14298.02,14094.83,3468469285
12.04.22,13956.56,14124.95,14180.09,13887.11,4384162460
13.04.22,14062.70,14076.44,14100.03,13961.95,3531032543
14.04.22,14098.48,14163.85,14198.78,14038.30,4422641547
19.04.22,14057.43,14153.46,14199.09,13991.70,3680195684
20.04.22,14154.48,14362.03,14362.03,14149.68,3746387900
21.04.22,14376.05,14502.41,14598.11,14374.59,3860395640
22.04.22,14320.51,14142.09,14372.47,14142.09,4322670932
25.04.22,13908.05,13924.17,14037.63,13863.39,4269476775
26.04.22,14087.08,13756.40,14112.84,13749.68,4768871177
27.04.22,13760.22,13793.94,13849.43,13566.20,5243766285
28.04.22,13907.06,13979.84,14074.71,13822.16,4509042838
29.04.22,14095.93,14097.88,14187.02,14038.55,4805996875
02.05.22,13996.82,13939.07,14036.11,13778.13,4062571839
03.05.22,13958.92,14039.47,14081.15,13920.46,4171096279
04.05.22,14020.90,13970.82,14073.21,13970.62,3594549161
