Stromverbrauch in Hessen 2000 bis 2021 nach Verbrauchergruppen in Gigawattstunden
(ohne Kraftwerkseigenverbrauch und sonstiger Verbrauch im Energiesektor, Netzverluste sowie Pumpstromverbrauch.)
Quelle:
---
Jahr,insgesamt,Industrie,Verkehr,"Haushalte, Gewerbe, Handel, Dienstleistungen und übrige Verbraucher"
2000,34958,11376,1875,21707   
2001,34588,11454,953,22181   
2002,34443,11407,1057,21979   
2003,34928,11717,1264,21947   
2004,35419,11895,1230,22294   
2005,36628,11679,1249,23701   
2006,39351,11804,1361,26186   
2007,37943,11977,1335,24631 
2008,38079,11777,1287,25015  
2009,36705,9981,1165,25559   
2010,37260,11324,1329,24607   
2011,36470,11694,1355,23421   
2012,36620,11335,1349,23936   
2013,36502,11363,1485,23654   
2014,35393,11230,1389,22775   
2015,34943,11010,1252,22681   
2016,34610,11026,1337,22246   
2017,34994,11095,1196,22702 
2018,34228,11068,1258,21902 
2019,35063,10648,1143,23272  
2020,33827,9797,1113,22916  
2021,35135,10233,1215,23687  

