Copyright Statistisches Bundesamt (Destatis), 2022
Stand: 03.06.2023 / 16:36:39
GENESIS-Tabelle: 21311-0002
Semester,ID,Hochschule,Deutsche männlich,Deutsche weiblich,Deutsche insgesamt,Ausländer männlich,Ausländer weiblich,Ausländer insgesamt,männlich,weiblich,insgesamt
WS 1998/99,HS6220,Frankfurt University of Applied Sciences (FH),4757,2434,7191,1569,542,2111,6326,2976,9302
WS 1999/00,HS6220,Frankfurt University of Applied Sciences (FH),4505,2464,6969,1630,539,2169,6135,3003,9138
WS 2000/01,HS6220,Frankfurt University of Applied Sciences (FH),4223,2481,6704,1668,626,2294,5891,3107,8998
WS 2001/02,HS6220,Frankfurt University of Applied Sciences (FH),4106,2513,6619,1644,637,2281,5750,3150,8900
WS 2002/03,HS6220,Frankfurt University of Applied Sciences (FH),4011,2603,6614,1703,674,2377,5714,3277,8991
WS 2003/04,HS6220,Frankfurt University of Applied Sciences (FH),4190,2787,6977,1745,742,2487,5935,3529,9464
WS 2004/05,HS6220,Frankfurt University of Applied Sciences (FH),3726,2755,6481,1508,729,2237,5234,3484,8718
WS 2005/06,HS6220,Frankfurt University of Applied Sciences (FH),3896,2785,6681,1476,783,2259,5372,3568,8940
WS 2006/07,HS6220,Frankfurt University of Applied Sciences (FH),3989,2820,6809,1403,780,2183,5392,3600,8992
WS 2007/08,HS6220,Frankfurt University of Applied Sciences (FH),3589,2508,6097,1141,718,1859,4730,3226,7956
WS 2008/09,HS6220,Frankfurt University of Applied Sciences (FH),4072,2826,6898,1270,799,2069,5342,3625,8967
WS 2009/10,HS6220,Frankfurt University of Applied Sciences (FH),4385,3020,7405,1327,845,2172,5712,3865,9577
WS 2010/11,HS6220,Frankfurt University of Applied Sciences (FH),4597,3197,7794,1368,851,2219,5965,4048,10013
WS 2011/12,HS6220,Frankfurt University of Applied Sciences (FH),4843,3281,8124,1407,862,2269,6250,4143,10393
WS 2012/13,HS6220,Frankfurt University of Applied Sciences (FH),4804,3465,8269,1501,913,2414,6305,4378,10683
WS 2013/14,HS6220,Frankfurt University of Applied Sciences (FH),5094,3780,8874,1718,1009,2727,6812,4789,11601
WS 2014/15,HS6220,Frankfurt University of Applied Sciences (FH),5375,4137,9512,1844,1115,2959,7219,5252,12471
WS 2015/16,HS6220,Frankfurt University of Applied Sciences (FH),5819,4474,10293,1964,1226,3190,7783,5700,13483
WS 2016/17,HS6220,Frankfurt University of Applied Sciences (FH),6038,4751,10789,1957,1301,3258,7995,6052,14047
WS 2017/18,HS6220,Frankfurt University of Applied Sciences (FH),6143,5044,11187,2011,1325,3336,8154,6369,14523
WS 2018/19,HS6220,Frankfurt University of Applied Sciences (FH),6365,5166,11531,2103,1402,3505,8468,6568,15036
WS 2019/20,HS6220,Frankfurt University of Applied Sciences (FH),6586,5396,11982,2188,1456,3644,8774,6852,15626
WS 2020/21,HS6220,Frankfurt University of Applied Sciences (FH),6490,5373,11863,2338,1452,3790,8828,6825,15653
WS 2021/22,HS6220,Frankfurt University of Applied Sciences (FH),6212,5235,11447,2406,1509,3915,8618,6744,15362
